,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
0,Wufeng,100,CN,1563145306,94,27.44,104.87,61.78,1.86
1,Punta Arenas,75,CL,1563144935,93,-53.16,-70.91,35.6,2.24
2,Yellowknife,40,CA,1563144916,35,62.45,-114.38,71.6,6.93
3,Bethel,75,US,1563144944,60,60.79,-161.76,68.0,5.46
4,Labytnangi,81,RU,1563145306,84,66.66,66.39,57.46,6.26
5,Mataura,70,NZ,1563145306,92,-46.19,168.86,39.99,3.0
6,Gat,0,SN,1563145307,74,14.69,-16.54,80.6,10.29
7,Geraldton,90,CA,1563145122,60,49.72,-86.95,75.2,9.17
8,Barrow,100,AR,1563145307,65,-38.31,-60.23,50.08,11.74
9,Rikitea,70,PF,1563145307,85,-23.12,-134.97,75.1,14.65
10,Ardmore,1,US,1563145308,78,34.99,-86.85,86.0,1.61
11,Puerto Ayora,20,EC,1563145308,61,-0.74,-90.35,78.8,20.8
12,Saint-Philippe,75,CA,1563145308,53,45.36,-73.48,77.0,4.7
13,Bilma,18,NE,1563145308,15,18.69,12.92,92.92,4.68
14,Carnarvon,0,ZA,1563145308,26,-30.97,22.13,50.44,4.97
15,Lebu,75,ET,1563145309,93,8.96,38.73,57.2,2.24
16,Zhigansk,33,RU,1563145309,40,66.77,123.37,62.14,18.34
17,Atuona,8,PF,1563144921,75,-9.8,-139.03,80.86,15.61
18,Lodhikheda,40,IN,1563145309,83,21.58,78.83,78.8,4.7
19,San Policarpo,100,PH,1563145310,87,12.18,125.51,77.98,9.86
20,Klaksvik,99,FO,1563144917,100,62.23,-6.59,51.8,5.82
21,Houma,96,CN,1563145310,40,35.63,111.36,82.48,9.64
22,Avarua,41,CK,1563144775,60,-21.21,-159.78,75.2,8.05
23,New Norfolk,40,AU,1563144931,75,-42.78,147.06,48.0,6.93
24,Bluff,93,AU,1563144925,39,-23.58,149.07,54.4,2.1
25,Kutum,74,SD,1563144935,54,14.2,24.66,76.72,10.18
26,Luganville,75,VU,1563145311,88,-15.51,167.18,77.0,2.24
27,Poum,20,MK,1563144995,82,41.28,20.71,55.4,4.7
28,Pevek,100,RU,1563145015,98,69.7,170.27,33.88,17.85
29,Astana,0,KZ,1563145311,82,51.13,71.43,57.2,6.71
30,Belaya Gora,36,RU,1563145000,63,68.54,146.19,58.18,10.96
31,Saldanha,0,PT,1563144929,65,41.42,-6.55,70.6,2.77
32,Bredasdorp,14,ZA,1563144940,87,-34.53,20.04,44.6,2.24
33,Moshenskoye,55,RU,1563145312,96,58.52,34.59,44.86,3.67
34,San Cristobal,22,HN,1563145028,58,14.68,-86.92,76.54,7.58
35,Hermanus,8,ZA,1563144922,97,-34.42,19.24,52.0,16.11
36,Ribeira Grande,76,PT,1563144938,70,38.52,-28.7,68.98,9.51
37,Saint George,40,GR,1563144974,60,39.45,22.34,73.4,1.36
38,Mezen,77,RU,1563144923,92,65.85,44.24,50.08,5.28
39,Hervey Bay,83,AU,1563145027,43,-25.3,152.85,57.0,10.29
40,Constitucion,75,MX,1563145027,72,23.99,-104.67,72.0,6.93
41,Butaritari,100,KI,1563144924,72,3.07,172.79,83.92,9.37
42,Upernavik,4,GL,1563144925,70,72.79,-56.15,45.04,9.89
43,Hilo,90,US,1563144934,58,19.71,-155.08,84.2,9.17
44,Thompson,75,CA,1563144892,56,55.74,-97.86,69.8,2.24
45,Ushuaia,20,AR,1563144919,86,-54.81,-68.31,37.4,3.36
46,Pimentel,87,BR,1563145313,91,-3.7,-45.5,73.12,2.19
47,Sorong,100,ID,1563145009,79,-0.86,131.25,77.62,9.57
48,Shache,44,CN,1563145009,39,38.42,77.24,72.76,0.83
49,Mar del Plata,21,AR,1563145029,74,-46.43,-67.52,40.54,6.4
50,Melfi,5,IT,1563145314,82,41.0,15.66,64.4,4.7
51,Busselton,38,AU,1563144926,69,-33.64,115.35,48.99,20.24
52,Lima Duarte,0,BR,1563145314,52,-21.84,-43.79,64.4,2.24
53,Samfya,0,ZM,1563145315,65,-11.37,29.56,50.98,5.06
54,Torbay,90,CA,1563144741,100,47.66,-52.73,52.0,11.41
55,Ercis,0,TR,1563145315,44,39.03,43.36,61.0,0.81
56,Aguadilla,1,PR,1563145118,94,18.43,-67.15,77.0,9.17
57,Santiago del Estero,8,AR,1563145315,83,-27.8,-64.26,58.9,5.12
58,Flinders,0,AU,1563144933,62,-34.58,150.85,55.99,17.22
59,Vaini,72,IN,1563144921,90,15.34,74.49,76.36,1.41
60,Qaanaaq,85,GL,1563144920,72,77.48,-69.36,43.42,11.03
61,Turukhansk,99,RU,1563145316,72,65.8,87.96,61.06,3.96
62,Kropotkin,95,RU,1563144995,64,45.43,40.58,63.58,6.96
63,Pangnirtung,100,CA,1563144992,45,66.15,-65.72,53.5,5.06
64,Saalfeld,75,DE,1563145317,82,50.65,11.36,60.01,5.82
65,Hirara,40,JP,1563144935,88,24.8,125.28,82.4,3.36
66,Dingle,95,PH,1563145010,82,11.0,122.67,78.34,1.77
67,Hami,48,CN,1563145012,17,42.84,93.51,82.48,9.15
68,Santa Cruz del Sur,53,CU,1563145317,67,20.71,-78.0,81.58,11.99
69,Key West,1,US,1563145317,62,47.93,-96.78,87.8,13.87
70,Krasnoarmeysk,0,RU,1563145318,76,56.12,38.15,57.2,4.47
71,Anshan,36,CN,1563145318,53,41.11,122.99,82.48,0.78
72,Tual,87,ID,1563145318,82,-5.67,132.75,77.8,22.26
73,Sydney,20,AU,1563145231,50,-33.85,151.22,57.99,23.04
74,Rawlins,1,US,1563145318,17,41.79,-107.24,87.8,13.27
75,Cape Town,0,ZA,1563144940,81,-33.93,18.42,52.0,8.05
76,Ola,99,RU,1563145008,95,59.58,151.3,48.64,12.08
77,Henties Bay,0,NA,1563145319,96,-22.12,14.28,53.01,1.99
78,Flin Flon,40,CA,1563144955,50,54.77,-101.88,75.2,5.82
79,Umba,99,RU,1563145319,93,66.69,34.34,45.22,6.55
80,Sechura,23,PE,1563144949,86,-5.56,-80.82,64.66,14.67
81,Husavik,85,CA,1563145009,49,50.56,-96.99,86.0,8.01
82,Anadyr,75,RU,1563145030,87,64.73,177.51,55.4,13.42
83,Zhuhai,0,CN,1563145320,67,40.71,112.04,62.6,8.95
84,Pankrushikha,8,RU,1563145320,77,53.83,80.35,59.8,7.96
85,Monrovia,20,LR,1563145320,94,6.33,-10.8,73.4,7.72
86,Itupiranga,0,BR,1563145320,62,-5.13,-49.33,84.2,3.36
87,Albany,40,US,1563144631,42,42.65,-73.75,82.4,23.04
88,Katsuura,75,JP,1563144967,83,33.93,134.5,75.2,6.93
89,Sabzevar,1,IR,1563145321,60,36.21,57.68,74.56,9.22
90,Kargasok,4,RU,1563145321,64,59.06,80.87,62.32,2.42
91,Izberbash,0,RU,1563145321,82,42.57,47.86,60.8,6.71
92,Khanpur,1,PK,1563145321,61,28.65,70.66,84.28,16.17
93,Aklavik,75,CA,1563144977,49,68.22,-135.01,73.4,11.41
94,Constantine,0,DZ,1563145322,44,36.36,6.61,75.2,10.29
95,Norman Wells,75,CA,1563144932,46,65.28,-126.83,71.6,3.36
96,Bayeux,75,BR,1563145322,100,-7.13,-34.94,73.4,3.36
97,Tuktoyaktuk,75,CA,1563144922,63,69.44,-133.03,62.6,8.05
98,Chongwe,0,ZM,1563145322,65,-15.33,28.68,48.82,5.5
99,Hofn,100,IS,1563144984,98,64.25,-15.21,43.24,3.51
100,Roros,86,NO,1563145323,87,62.57,11.38,44.6,5.82
101,Dong Hoi,100,VN,1563145191,74,17.48,106.6,82.66,4.09
102,Chokurdakh,93,RU,1563144958,71,70.62,147.9,44.5,13.85
103,Tabuk,47,PH,1563144949,78,17.41,121.44,72.22,1.61
104,Mazyr,100,BY,1563145323,90,52.05,29.27,55.12,2.53
105,Qasigiannguit,20,GL,1563145324,33,68.82,-51.19,57.2,4.7
106,Atherton,80,AU,1563145324,68,-17.27,145.48,69.01,13.87
107,Asosa,99,ET,1563145324,96,10.07,34.53,65.2,1.68
108,Vilhena,0,BR,1563145324,57,-12.74,-60.15,78.8,2.24
109,Dunhua,100,CN,1563145325,84,43.37,128.23,64.48,6.46
110,Jackson,20,US,1563145084,30,43.48,-110.76,84.2,8.05
111,Coahuayana,100,MX,1563145000,79,18.62,-100.35,82.48,0.96
112,Raudeberg,82,NO,1563145325,81,61.99,5.14,51.8,17.22
113,Coquimbo,0,CL,1563145325,76,-29.95,-71.34,55.4,5.82
114,Alice Springs,0,AU,1563144963,50,-23.7,133.88,32.0,6.93
115,Kyzyl-Suu,0,KG,1563145326,64,42.34,78.0,65.92,6.76
116,Mahebourg,75,MU,1563144903,88,-20.41,57.7,66.2,4.7
117,Codrington,0,AU,1563145011,50,-28.95,153.24,53.6,14.99
